Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,18796,18796,0.532,0.0084,0.0084,10000,82,83,84,82,83,84
2,243902,34904,0.573,0.0022,0.0053,20000,80,82,84,17,20,22
3,200000,48154,0.623,0.0037,0.0047666666666666664,30000,78,81,84,33,35,36
4,212765,59701,0.67,0.0027,0.00425,40000,75,80,83,24,26,27
5,312500,71225,0.702,0.0019,0.00378,50000,73,79,83,17,18,19
6,232558,80428,0.746,0.0021,0.0035,60000,68,78,83,18,20,20
7,322580,90090,0.777,0.0018,0.0032571428571428573,70000,62,77,82,18,18,18
8,238095,97680,0.819,0.0027,0.0031875,80000,54,75,82,26,26,27
9,322580,105882,0.85,0.0023,0.003088888888888889,90000,46,74,82,22,23,23
10,416666,114285,0.875,9.0E-4,0.00287,100000,35,73,82,8,8,9
11,526315,123042,0.894,8.0E-4,0.002681818181818182,110000,33,71,82,8,8,8
12,769230,132304,0.907,2.0E-4,0.002475,120000,29,68,82,2,2,2
13,769230,141304,0.92,1.0E-4,0.0022923076923076924,130000,27,66,82,1,1,1
14,833333,150214,0.932,3.0E-4,0.00215,140000,26,62,81,2,2,3
15,588235,158061,0.949,2.0E-4,0.00202,150000,26,59,81,2,2,2
16,769230,166320,0.962,4.0E-4,0.00191875,160000,24,54,81,4,4,4
17,588235,173469,0.98,6.0E-4,0.0018411764705882352,170000,23,49,80,6,6,6
18,526315,180000,1.0,8.0E-4,0.0017833333333333334,180000,23,46,80,7,8,8
19,526315,186274,1.02,0.0011,0.0017473684210526316,190000,22,37,80,10,10,11
20,769230,193610,1.033,7.0E-4,0.001695,200000,22,35,80,7,7,7
21,666666,200381,1.048,6.0E-4,0.001642857142857143,210000,21,33,80,5,6,6
22,1000000,207939,1.058,5.0E-4,0.001590909090909091,220000,20,33,80,4,5,5
23,1250000,215759,1.066,4.0E-4,0.0015391304347826087,230000,20,31,80,4,4,4
24,1250000,223463,1.074,5.0E-4,0.0014958333333333334,240000,19,29,79,4,5,5
25,2000000,231696,1.079,2.0E-4,0.001444,250000,19,27,79,1,2,2
26,1250000,239190,1.087,8.0E-4,0.0014192307692307692,260000,19,27,79,8,8,8
27,1250000,246350,1.096,4.0E-4,0.0013814814814814816,270000,18,26,78,4,4,4
28,1111111,253164,1.106,8.0E-4,0.0013607142857142856,280000,18,26,78,7,7,8
29,1428571,260557,1.113,6.0E-4,0.0013344827586206896,290000,18,26,78,6,6,6
30,1428571,267857,1.12,3.0E-4,0.0013,300000,18,26,78,3,3,3
31,1428571,275066,1.127,3.0E-4,0.0012677419354838709,310000,17,25,78,3,3,3
32,1666666,282186,1.134,5.0E-4,0.00124375,320000,17,24,78,4,5,5
33,2000000,289727,1.139,4.0E-4,0.0012181818181818181,330000,17,24,78,4,4,4
34,2500000,297462,1.143,3.0E-4,0.0011911764705882352,340000,17,23,77,2,2,3
35,3333333,305410,1.146,2.0E-4,0.0011628571428571428,350000,17,23,77,2,2,2
36,2500000,313043,1.15,2.0E-4,0.0011361111111111112,360000,16,23,77,2,2,2
37,2500000,320623,1.154,2.0E-4,0.001110810810810811,370000,16,23,76,1,1,1
38,3333333,328435,1.157,2.0E-4,0.001086842105263158,380000,16,22,76,2,2,2
39,2500000,335917,1.161,2.0E-4,0.001064102564102564,390000,15,22,76,2,2,2
40,3333333,343642,1.164,3.0E-4,0.001045,400000,15,22,75,3,3,3
41,3333333,351027,1.168,2.0E-4,0.001024390243902439,410000,15,21,75,2,2,2
42,2500000,358361,1.172,2.0E-4,0.0010047619047619048,420000,14,21,75,2,2,2
43,2500000,365646,1.176,4.0E-4,9.906976744186047E-4,430000,14,21,74,3,4,4
44,3333333,373197,1.179,3.0E-4,9.75E-4,440000,14,20,74,3,3,3
45,2500000,380388,1.183,3.0E-4,9.6E-4,450000,14,20,74,3,3,3
46,2500000,387531,1.187,3.0E-4,9.456521739130435E-4,460000,13,20,74,3,3,3
47,3333333,394957,1.19,3.0E-4,9.319148936170213E-4,470000,13,20,74,3,3,3
48,2500000,402010,1.194,3.0E-4,9.1875E-4,480000,12,19,73,3,3,3
49,2500000,409015,1.198,2.0E-4,9.040816326530612E-4,490000,12,19,73,2,2,2
50,2500000,415973,1.202,2.0E-4,8.9E-4,500000,12,19,73,2,2,2
51,2500000,422885,1.206,2.0E-4,8.764705882352941E-4,510000,11,19,73,1,1,2
52,3333333,430107,1.209,1.0E-4,8.615384615384615E-4,520000,11,19,72,1,1,1
53,2500000,436933,1.213,2.0E-4,8.490566037735849E-4,530000,11,19,72,2,2,2
54,2500000,443714,1.217,3.0E-4,8.388888888888889E-4,540000,11,18,72,3,3,3
55,2500000,450450,1.221,2.0E-4,8.272727272727273E-4,550000,10,18,71,2,2,2
56,2500000,457142,1.225,2.0E-4,8.160714285714286E-4,560000,10,18,70,2,2,2
57,3333333,464169,1.228,2.0E-4,8.052631578947369E-4,570000,10,18,70,2,2,2
58,3333333,470779,1.232,3.0E-4,7.96551724137931E-4,580000,10,18,69,3,3,3
59,2500000,477346,1.236,4.0E-4,7.898305084745763E-4,590000,9,18,69,4,4,4
60,2500000,483870,1.24,1.0E-4,7.783333333333334E-4,600000,9,18,68,0,1,1
61,3333333,490748,1.243,2.0E-4,7.688524590163935E-4,610000,9,18,68,2,2,2
62,3333333,497193,1.247,1.0E-4,7.580645161290322E-4,620000,8,17,68,1,1,1
63,2500000,503597,1.251,1.0E-4,7.476190476190476E-4,630000,8,17,67,1,1,1
64,2500000,509960,1.255,3.0E-4,7.40625E-4,640000,8,17,66,2,3,3
65,3333333,516693,1.258,3.0E-4,7.338461538461538E-4,650000,8,17,66,3,3,3
66,2500000,522979,1.262,3.0E-4,7.272727272727272E-4,660000,8,17,65,3,3,3
67,2500000,529225,1.266,1.0E-4,7.17910447761194E-4,670000,8,17,64,1,1,1
68,3333333,535855,1.269,3.0E-4,7.117647058823529E-4,680000,8,17,63,3,3,3
69,3333333,542026,1.273,2.0E-4,7.043478260869566E-4,690000,8,17,63,2,2,2
70,2500000,548159,1.277,4.0E-4,7.0E-4,700000,8,17,62,4,4,4
71,2500000,554254,1.281,2.0E-4,6.929577464788732E-4,710000,8,17,62,2,2,2
72,3333333,560747,1.284,1.0E-4,6.847222222222222E-4,720000,8,16,61,1,1,1
73,2500000,566770,1.288,2.0E-4,6.780821917808219E-4,730000,8,16,61,2,2,2
