Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic)
1,22271,22271,0.449,0.0053,0.0053,10000
2,312500,41493,0.482,0.0025,0.0039,20000
3,357142,58823,0.51,0.0017,0.0031666666666666666,30000
4,294117,73394,0.545,0.0022,0.002925,40000
5,312500,86655,0.577,0.002,0.00274,50000
6,322580,98684,0.608,0.002,0.002616666666666667,60000
7,263157,108359,0.646,0.0027,0.0026285714285714285,70000
8,270270,117130,0.683,0.0024,0.0026,80000
9,270270,125000,0.72,0.0027,0.002611111111111111,90000
10,270270,131926,0.758,0.0026,0.00261,100000
11,243902,137672,0.799,0.0024,0.0025909090909090908,110000
12,303030,144230,0.832,0.0019,0.002533333333333333,120000
13,384615,151515,0.858,0.0015,0.0024538461538461537,130000
14,333333,157657,0.888,0.0023,0.002442857142857143,140000
15,344827,163576,0.917,0.0017,0.0023933333333333333,150000
16,357142,169312,0.945,0.0019,0.0023625,160000
17,384615,175077,0.971,0.0018,0.0023294117647058824,170000
18,416666,180904,0.995,0.0023,0.0023277777777777776,180000
19,555555,187561,1.013,0.0013,0.0022736842105263158,190000
20,625000,194174,1.03,0.0011,0.002215,200000
21,909090,201729,1.041,8.0E-4,0.0021476190476190475,210000
22,1111111,209523,1.05,7.0E-4,0.0020818181818181816,220000
23,1666666,217803,1.056,6.0E-4,0.002017391304347826,230000
24,1666666,225776,1.063,5.0E-4,0.0019541666666666666,240000
25,1666666,233863,1.069,2.0E-4,0.001884,250000
26,1000000,240963,1.079,8.0E-4,0.0018423076923076924,260000
27,1250000,248390,1.087,6.0E-4,0.0017962962962962963,270000
28,1666666,256175,1.093,3.0E-4,0.0017428571428571428,280000
29,2000000,264116,1.098,3.0E-4,0.001693103448275862,290000
30,1250000,271247,1.106,7.0E-4,0.00166,300000
31,1250000,278026,1.115,6.0E-4,0.0016258064516129031,310000
32,1666666,285459,1.121,5.0E-4,0.001590625,320000
33,2000000,293072,1.126,4.0E-4,0.0015545454545454545,330000
34,2000000,300353,1.132,5.0E-4,0.001523529411764706,340000
35,2000000,307827,1.137,5.0E-4,0.0014942857142857143,350000
36,1250000,314410,1.145,6.0E-4,0.0014694444444444444,360000
37,1250000,320623,1.154,6.0E-4,0.001445945945945946,370000
38,1250000,326741,1.163,5.0E-4,0.0014210526315789475,380000
39,1428571,333333,1.17,7.0E-4,0.0014025641025641026,390000
40,1666666,340136,1.176,4.0E-4,0.0013775,400000
41,2000000,346869,1.182,3.0E-4,0.001351219512195122,410000
42,2500000,354131,1.186,2.0E-4,0.0013238095238095238,420000
43,3333333,361648,1.189,3.0E-4,0.0013,430000
44,2500000,368818,1.193,2.0E-4,0.001275,440000
45,3333333,376254,1.196,2.0E-4,0.001251111111111111,450000
46,2500000,383333,1.2,1.0E-4,0.0012260869565217391,460000
47,3333333,390689,1.203,2.0E-4,0.0012042553191489362,470000
48,3333333,397680,1.207,3.0E-4,0.0011854166666666666,480000
49,2500000,404290,1.212,4.0E-4,0.0011693877551020408,490000
50,2500000,411184,1.216,3.0E-4,0.001152,500000
51,3333333,418375,1.219,1.0E-4,0.0011313725490196078,510000
52,2000000,424489,1.225,3.0E-4,0.0011153846153846153,520000
53,3333333,431596,1.228,1.0E-4,0.0010962264150943396,530000
54,2500000,438311,1.232,3.0E-4,0.0010814814814814814,540000
55,3333333,445344,1.235,2.0E-4,0.0010654545454545454,550000
56,2500000,451977,1.239,2.0E-4,0.00105,560000
57,3333333,458937,1.242,2.0E-4,0.0010350877192982456,570000
58,2500000,465489,1.246,4.0E-4,0.0010241379310344829,580000
59,3333333,472377,1.249,0.0,0.0010067796610169493,590000
60,2500000,478850,1.253,3.0E-4,9.95E-4,600000
61,3333333,485668,1.256,3.0E-4,9.836065573770492E-4,610000
62,2500000,492063,1.26,4.0E-4,9.741935483870967E-4,620000
63,3333333,498812,1.263,2.0E-4,9.619047619047619E-4,630000
64,3333333,505130,1.267,2.0E-4,9.5E-4,640000
65,2500000,511408,1.271,4.0E-4,9.415384615384615E-4,650000
66,3333333,518053,1.274,3.0E-4,9.318181818181818E-4,660000
67,3333333,524256,1.278,0.0,9.17910447761194E-4,670000
68,3333333,530835,1.281,3.0E-4,9.088235294117647E-4,680000
69,2500000,536964,1.285,3.0E-4,9.0E-4,690000
70,3333333,543478,1.288,2.0E-4,8.9E-4,700000
71,2500000,549535,1.292,2.0E-4,8.802816901408451E-4,710000
72,3333333,555984,1.295,2.0E-4,8.708333333333334E-4,720000
73,2500000,561970,1.299,1.0E-4,8.602739726027397E-4,730000
74,3333333,568356,1.302,2.0E-4,8.513513513513513E-4,740000
75,2500000,574272,1.306,1.0E-4,8.413333333333334E-4,750000
76,3333333,580595,1.309,1.0E-4,8.31578947368421E-4,760000
77,2500000,586443,1.313,2.0E-4,8.233766233766233E-4,770000
78,3333333,592705,1.316,2.0E-4,8.153846153846154E-4,780000
79,2500000,598484,1.32,3.0E-4,8.088607594936709E-4,790000
80,3333333,604686,1.323,2.0E-4,8.0125E-4,800000
81,2500000,610399,1.327,3.0E-4,7.950617283950617E-4,810000
82,3333333,616541,1.33,2.0E-4,7.878048780487805E-4,820000
83,2500000,622188,1.334,2.0E-4,7.80722891566265E-4,830000
84,3333333,628272,1.337,2.0E-4,7.738095238095238E-4,840000
85,2500000,633855,1.341,2.0E-4,7.670588235294118E-4,850000
86,2500000,639405,1.345,2.0E-4,7.604651162790698E-4,860000
87,3333333,645400,1.348,1.0E-4,7.528735632183908E-4,870000
88,2500000,650887,1.352,1.0E-4,7.454545454545455E-4,880000
89,3333333,656826,1.355,2.0E-4,7.393258426966293E-4,890000
90,2500000,662251,1.359,3.0E-4,7.344444444444445E-4,900000
91,3333333,668135,1.362,1.0E-4,7.274725274725275E-4,910000
92,2500000,673499,1.366,3.0E-4,7.228260869565217E-4,920000
93,3333333,679327,1.369,1.0E-4,7.161290322580645E-4,930000
94,2500000,684632,1.373,3.0E-4,7.117021276595745E-4,940000
95,3333333,690406,1.376,2.0E-4,7.063157894736842E-4,950000
96,2500000,695652,1.38,1.0E-4,7.0E-4,960000
97,3333333,701373,1.383,3.0E-4,6.958762886597938E-4,970000
98,2500000,706560,1.387,2.0E-4,6.908163265306122E-4,980000
99,2000000,711206,1.392,3.0E-4,6.868686868686869E-4,990000
100,2000000,715819,1.397,3.0E-4,6.83E-4,1000000
101,3333333,721428,1.4,2.0E-4,6.782178217821782E-4,1010000
102,2500000,726495,1.404,1.0E-4,6.725490196078432E-4,1020000
103,3333333,732054,1.407,3.0E-4,6.689320388349514E-4,1030000
104,3333333,737065,1.411,2.0E-4,6.644230769230769E-4,1040000
105,3333333,742574,1.414,2.0E-4,6.6E-4,1050000
106,2500000,747531,1.418,2.0E-4,6.556603773584906E-4,1060000
107,2500000,752461,1.422,4.0E-4,6.532710280373832E-4,1070000
108,3333333,757894,1.425,2.0E-4,6.49074074074074E-4,1080000
109,2500000,762771,1.429,2.0E-4,6.44954128440367E-4,1090000
110,3333333,768156,1.432,1.0E-4,6.4E-4,1100000
111,2500000,772980,1.436,2.0E-4,6.36036036036036E-4,1110000
112,3333333,778318,1.439,1.0E-4,6.3125E-4,1120000
113,2500000,783090,1.443,3.0E-4,6.283185840707965E-4,1130000
114,3333333,788381,1.446,2.0E-4,6.245614035087719E-4,1140000
115,2500000,793103,1.45,2.0E-4,6.208695652173914E-4,1150000
116,3333333,798348,1.453,1.0E-4,6.163793103448275E-4,1160000
117,2500000,803019,1.457,3.0E-4,6.136752136752136E-4,1170000
118,3333333,808219,1.46,2.0E-4,6.101694915254237E-4,1180000
119,2500000,812841,1.464,1.0E-4,6.058823529411765E-4,1190000
120,3333333,817995,1.467,3.0E-4,6.033333333333333E-4,1200000
121,2500000,822569,1.471,3.0E-4,6.008264462809917E-4,1210000
122,3333333,827679,1.474,3.0E-4,5.98360655737705E-4,1220000
123,2500000,832205,1.478,2.0E-4,5.951219512195122E-4,1230000
124,3333333,837272,1.481,3.0E-4,5.92741935483871E-4,1240000
125,2500000,841750,1.485,2.0E-4,5.896E-4,1250000
126,3333333,846774,1.488,3.0E-4,5.873015873015873E-4,1260000
