Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,12254,12254,0.816,0.0092,0.0092,10000,85,87,91,85,87,91
2,178571,22909,0.873,0.0041,0.00665,20000,83,85,90,37,38,40
3,153846,31982,0.938,0.004,0.0057666666666666665,30000,81,83,90,37,40,40
4,212765,40609,0.985,0.0028,0.005025,40000,79,83,88,26,27,28
5,149253,47483,1.053,0.0044,0.0049,50000,74,83,87,40,42,44
6,204081,54446,1.102,0.0022,0.00445,60000,71,81,87,20,21,22
7,222222,61028,1.147,0.0026,0.004185714285714286,70000,54,80,86,22,24,25
8,232558,67226,1.19,0.0023,0.00395,80000,47,79,86,20,22,22
9,232558,72992,1.233,0.0031,0.0038555555555555556,90000,42,76,85,28,30,31
10,192307,77821,1.285,0.0025,0.00372,100000,40,74,85,22,24,24
11,200000,82397,1.335,0.0026,0.003618181818181818,110000,39,72,85,25,25,26
12,256410,87336,1.374,0.0016,0.00345,120000,38,71,85,14,15,16
13,344827,92658,1.403,9.0E-4,0.003253846153846154,130000,37,68,84,9,9,9
14,294117,97425,1.437,6.0E-4,0.0030642857142857143,140000,36,54,83,6,6,6
15,256410,101626,1.476,0.0022,0.0030066666666666666,150000,35,52,83,7,7,8
16,333333,106241,1.506,0.0013,0.0029,160000,34,47,83,12,13,13
17,416666,111111,1.53,0.0013,0.0028058823529411763,170000,31,43,83,12,12,13
18,454545,115979,1.552,0.001,0.0027055555555555557,180000,31,42,83,10,10,10
19,909090,121483,1.564,7.0E-4,0.0026,190000,30,41,83,7,7,7
20,833333,126823,1.577,4.0E-4,0.00249,200000,29,40,83,4,4,4
21,1666666,132575,1.584,4.0E-4,0.0023904761904761903,210000,28,40,83,4,4,4
22,714285,137585,1.599,4.0E-4,0.0023,220000,28,39,83,4,4,4
23,1666666,143302,1.605,4.0E-4,0.002217391304347826,230000,27,39,83,4,4,4
24,2000000,148975,1.611,2.0E-4,0.0021333333333333334,240000,26,38,83,2,2,2
25,2000000,154607,1.617,4.0E-4,0.002064,250000,26,37,83,4,4,4
26,1666666,160197,1.623,5.0E-4,0.002003846153846154,260000,26,37,83,4,5,5
27,2000000,165745,1.629,2.0E-4,0.001937037037037037,270000,25,36,82,2,2,2
28,2000000,171253,1.635,4.0E-4,0.0018821428571428572,280000,25,36,82,4,4,4
29,2000000,176721,1.641,3.0E-4,0.0018275862068965517,290000,24,35,81,2,3,3
30,2000000,182260,1.646,4.0E-4,0.00178,300000,24,35,81,4,4,4
31,2000000,187537,1.653,2.0E-4,0.001729032258064516,310000,24,34,81,2,2,2
32,2000000,192887,1.659,4.0E-4,0.0016875,320000,23,34,81,3,3,3
33,2000000,198317,1.664,3.0E-4,0.0016454545454545454,330000,23,32,81,3,3,3
34,2000000,203714,1.669,4.0E-4,0.0016088235294117648,340000,22,31,80,4,4,4
35,2000000,208955,1.675,3.0E-4,0.0015714285714285715,350000,22,31,80,3,3,3
36,2000000,214285,1.68,1.0E-4,0.0015305555555555556,360000,21,31,79,1,1,1
37,2000000,219584,1.685,1.0E-4,0.001491891891891892,370000,21,30,79,1,1,1
38,2000000,224852,1.69,3.0E-4,0.0014605263157894737,380000,20,30,79,3,3,3
39,2000000,230088,1.695,1.0E-4,0.0014256410256410256,390000,20,29,79,1,1,1
40,3333333,235432,1.699,2.0E-4,0.001395,400000,20,29,79,2,2,2
41,2000000,240610,1.704,3.0E-4,0.0013682926829268294,410000,20,29,79,3,3,3
42,2000000,245614,1.71,2.0E-4,0.0013404761904761905,420000,19,28,78,2,2,2
43,2000000,250728,1.715,3.0E-4,0.0013162790697674419,430000,18,28,77,3,3,3
44,2000000,255665,1.721,4.0E-4,0.0012954545454545454,440000,18,28,76,4,4,4
45,2000000,260718,1.726,4.0E-4,0.0012755555555555556,450000,18,28,76,4,4,4
46,2000000,265588,1.732,3.0E-4,0.0012543478260869565,460000,18,27,75,2,3,3
47,2000000,270581,1.737,3.0E-4,0.0012340425531914894,470000,17,27,75,3,3,3
48,1666666,275387,1.743,4.0E-4,0.0012166666666666667,480000,17,26,74,4,4,4
49,2000000,280320,1.748,3.0E-4,0.0011979591836734694,490000,17,26,74,3,3,3
50,1666666,285062,1.754,4.0E-4,0.001182,500000,17,26,74,3,3,4
51,2000000,289937,1.759,1.0E-4,0.0011607843137254902,510000,16,26,73,1,1,1
52,2000000,294617,1.765,3.0E-4,0.0011442307692307691,520000,16,26,73,3,3,3
53,2000000,299435,1.77,2.0E-4,0.0011264150943396227,530000,16,25,73,2,2,2
54,1666666,304054,1.776,6.0E-4,0.0011166666666666666,540000,16,25,72,5,5,6
55,1666666,308641,1.782,3.0E-4,0.0011018181818181819,550000,15,25,72,2,2,3
56,2000000,313374,1.787,2.0E-4,0.0010857142857142858,560000,15,25,72,2,2,2
57,1666666,317902,1.793,4.0E-4,0.0010736842105263159,570000,15,25,71,3,3,4
58,2000000,322580,1.798,4.0E-4,0.0010620689655172415,580000,14,24,71,3,4,4
59,1666666,327050,1.804,4.0E-4,0.0010508474576271186,590000,14,24,71,3,3,3
60,2000000,331674,1.809,2.0E-4,0.0010366666666666666,600000,14,24,71,2,2,2
61,1666666,336088,1.815,5.0E-4,0.0010278688524590165,610000,13,24,70,4,4,5
62,2000000,340472,1.821,2.0E-4,0.001014516129032258,620000,13,24,70,2,2,2
63,2000000,345016,1.826,3.0E-4,0.0010031746031746033,630000,13,23,69,3,3,3
64,2000000,349344,1.832,2.0E-4,9.90625E-4,640000,13,23,69,2,2,2
65,1666666,353645,1.838,3.0E-4,9.8E-4,650000,13,23,68,2,3,3
66,1666666,357917,1.844,4.0E-4,9.712121212121212E-4,660000,13,23,68,3,3,4
67,1428571,361966,1.851,3.0E-4,9.611940298507463E-4,670000,12,22,54,3,3,3
68,2000000,366379,1.856,0.0,9.470588235294117E-4,680000,12,22,54,0,0,0
69,2000000,370768,1.861,3.0E-4,9.376811594202899E-4,690000,12,22,54,3,3,3
70,2500000,375335,1.865,4.0E-4,9.3E-4,700000,12,22,54,4,4,4
71,2500000,379882,1.869,3.0E-4,9.211267605633803E-4,710000,12,21,54,2,2,3
72,2500000,384410,1.873,3.0E-4,9.125E-4,720000,12,21,54,3,3,3
73,3333333,388918,1.877,1.0E-4,9.013698630136987E-4,730000,11,21,53,1,1,1
74,2500000,393407,1.881,3.0E-4,8.932432432432432E-4,740000,11,21,53,2,3,3
75,3333333,398089,1.884,2.0E-4,8.84E-4,750000,11,21,52,2,2,2
76,2000000,402329,1.889,3.0E-4,8.763157894736842E-4,760000,11,20,51,2,2,3
77,2500000,406761,1.893,3.0E-4,8.688311688311688E-4,770000,11,20,50,3,3,3
78,2500000,411175,1.897,3.0E-4,8.615384615384615E-4,780000,10,20,50,3,3,3
79,2500000,415570,1.901,3.0E-4,8.544303797468354E-4,790000,10,20,49,3,3,3
80,1666666,419507,1.907,4.0E-4,8.4875E-4,800000,10,20,47,4,4,4
81,2000000,423640,1.912,5.0E-4,8.444444444444444E-4,810000,10,20,45,4,5,5
82,2500000,427974,1.916,2.0E-4,8.365853658536585E-4,820000,10,20,44,2,2,2
83,2500000,432291,1.92,3.0E-4,8.301204819277108E-4,830000,9,19,44,3,3,3
84,2500000,436590,1.924,3.0E-4,8.238095238095239E-4,840000,9,19,44,3,3,3
85,3333333,440871,1.928,3.0E-4,8.176470588235294E-4,850000,9,19,43,3,3,3
86,3333333,445134,1.932,3.0E-4,8.116279069767442E-4,860000,9,18,43,3,3,3
87,2500000,449380,1.936,2.0E-4,8.045977011494253E-4,870000,9,18,43,2,2,2
88,2500000,453608,1.94,1.0E-4,7.965909090909091E-4,880000,9,18,42,1,1,1
89,3333333,457818,1.944,2.0E-4,7.898876404494382E-4,890000,9,18,42,2,2,2
90,2500000,462012,1.948,1.0E-4,7.822222222222222E-4,900000,8,18,42,0,1,1
91,3333333,466427,1.951,3.0E-4,7.76923076923077E-4,910000,8,18,42,3,3,3
92,2500000,470588,1.955,3.0E-4,7.717391304347826E-4,920000,8,18,42,3,3,3
93,2500000,474489,1.96,1.0E-4,7.645161290322581E-4,930000,8,18,41,1,1,1
94,3333333,478858,1.963,2.0E-4,7.585106382978723E-4,940000,8,17,41,2,2,2
95,2500000,482968,1.967,2.0E-4,7.526315789473684E-4,950000,8,17,41,2,2,2
96,2500000,487062,1.971,1.0E-4,7.458333333333334E-4,960000,8,17,40,0,0,0
97,2500000,491139,1.975,3.0E-4,7.412371134020619E-4,970000,8,17,40,2,3,3
98,3333333,495449,1.978,2.0E-4,7.357142857142857E-4,980000,7,17,40,2,2,2
99,3333333,499495,1.982,1.0E-4,7.292929292929293E-4,990000,7,17,40,1,1,1
100,2000000,503271,1.987,2.0E-4,7.24E-4,1000000,7,17,40,2,2,2
101,1666666,506773,1.993,5.0E-4,7.217821782178218E-4,1010000,7,16,40,4,4,5
102,2000000,510510,1.998,3.0E-4,7.176470588235295E-4,1020000,7,16,40,2,3,3
103,1666666,513972,2.004,3.0E-4,7.135922330097087E-4,1030000,7,16,40,3,3,3
104,2000000,517412,2.01,3.0E-4,7.096153846153846E-4,1040000,7,16,40,2,3,3
105,1666666,520833,2.016,3.0E-4,7.057142857142858E-4,1050000,7,16,40,2,2,3
106,2000000,524492,2.021,4.0E-4,7.028301886792453E-4,1060000,7,16,39,4,4,4
107,1666666,527873,2.027,4.0E-4,7.0E-4,1070000,7,16,39,4,4,4
108,1666666,531234,2.033,4.0E-4,6.972222222222222E-4,1080000,7,16,39,4,4,4
109,1666666,534575,2.039,3.0E-4,6.935779816513762E-4,1090000,7,16,39,3,3,3
110,2000000,538160,2.044,3.0E-4,6.9E-4,1100000,7,15,39,3,3,3
111,2000000,541463,2.05,4.0E-4,6.873873873873874E-4,1110000,6,15,39,4,4,4
112,1666666,544747,2.056,4.0E-4,6.848214285714286E-4,1120000,6,15,39,4,4,4
113,1666666,548011,2.062,3.0E-4,6.814159292035398E-4,1130000,6,15,39,2,3,3
114,1666666,551257,2.068,4.0E-4,6.789473684210526E-4,1140000,6,15,39,3,4,4
115,1666666,554484,2.074,5.0E-4,6.773913043478261E-4,1150000,6,15,39,4,5,5
116,2000000,557960,2.079,4.0E-4,6.75E-4,1160000,6,14,38,4,4,4
117,2000000,561151,2.085,5.0E-4,6.735042735042735E-4,1170000,6,14,38,4,4,5
118,1666666,564323,2.091,4.0E-4,6.711864406779661E-4,1180000,6,14,38,3,3,4
119,1666666,567477,2.097,4.0E-4,6.689075630252101E-4,1190000,6,14,38,3,3,3
120,2000000,570884,2.102,4.0E-4,6.666666666666666E-4,1200000,6,14,38,4,4,4
121,2000000,574003,2.108,2.0E-4,6.628099173553719E-4,1210000,6,14,38,2,2,2
122,1666666,577105,2.114,4.0E-4,6.60655737704918E-4,1220000,5,13,37,3,4,4
123,1666666,580188,2.12,4.0E-4,6.585365853658537E-4,1230000,5,13,37,3,3,4
124,1666666,583254,2.126,2.0E-4,6.548387096774194E-4,1240000,5,13,37,2,2,2
125,2000000,586579,2.131,3.0E-4,6.52E-4,1250000,5,13,37,3,3,3
126,1666666,589611,2.137,5.0E-4,6.507936507936508E-4,1260000,5,13,37,4,4,5
127,1666666,592627,2.143,3.0E-4,6.480314960629921E-4,1270000,5,13,37,2,2,3
128,2000000,595903,2.148,3.0E-4,6.453125E-4,1280000,5,13,37,3,3,3
129,2000000,598885,2.154,2.0E-4,6.418604651162791E-4,1290000,5,13,37,2,2,2
130,1666666,601851,2.16,1.0E-4,6.376923076923076E-4,1300000,5,13,37,1,1,1
131,2000000,605080,2.165,3.0E-4,6.351145038167939E-4,1310000,5,13,37,3,3,3
132,2500000,608575,2.169,2.0E-4,6.318181818181818E-4,1320000,5,13,37,2,2,2
133,2000000,611775,2.174,1.0E-4,6.278195488721804E-4,1330000,5,13,36,1,1,1
134,2000000,614678,2.18,3.0E-4,6.253731343283583E-4,1340000,5,12,36,2,3,3
135,2000000,617848,2.185,3.0E-4,6.22962962962963E-4,1350000,5,12,36,3,3,3
136,2500000,621004,2.19,1.0E-4,6.191176470588235E-4,1360000,5,12,36,0,1,1
137,2000000,624145,2.195,4.0E-4,6.175182481751825E-4,1370000,5,12,36,3,3,4
138,2000000,627272,2.2,3.0E-4,6.152173913043478E-4,1380000,4,12,36,2,3,3
139,1666666,630099,2.206,6.0E-4,6.151079136690647E-4,1390000,5,12,36,5,5,6
140,2000000,633197,2.211,3.0E-4,6.128571428571429E-4,1400000,5,12,36,3,3,3
141,2000000,635994,2.217,2.0E-4,6.099290780141844E-4,1410000,4,12,36,2,2,2
142,1666666,638776,2.223,5.0E-4,6.091549295774648E-4,1420000,4,12,36,5,5,5
143,1666666,641543,2.229,5.0E-4,6.083916083916084E-4,1430000,4,12,36,4,5,5
144,1666666,644295,2.235,3.0E-4,6.0625E-4,1440000,4,12,36,3,3,3
145,1666666,647032,2.241,3.0E-4,6.041379310344827E-4,1450000,4,12,35,2,2,3
146,2000000,650044,2.246,3.0E-4,6.02054794520548E-4,1460000,4,11,35,3,3,3
147,2000000,652753,2.252,1.0E-4,5.986394557823129E-4,1470000,4,11,35,1,1,1
148,1666666,655447,2.258,2.0E-4,5.95945945945946E-4,1480000,4,11,35,2,2,2
149,2000000,658418,2.263,5.0E-4,5.953020134228188E-4,1490000,4,11,35,5,5,5
150,2000000,661084,2.269,3.0E-4,5.933333333333333E-4,1500000,4,11,35,3,3,3
151,1666666,663736,2.275,4.0E-4,5.920529801324504E-4,1510000,4,11,35,4,4,4
152,1666666,666374,2.281,4.0E-4,5.907894736842105E-4,1520000,4,11,35,4,4,4
153,1666666,668998,2.287,3.0E-4,5.888888888888889E-4,1530000,4,11,34,3,3,3
154,2500000,672195,2.291,3.0E-4,5.87012987012987E-4,1540000,4,11,34,3,3,3
155,2500000,675381,2.295,3.0E-4,5.851612903225806E-4,1550000,4,10,34,3,3,3
156,2500000,678555,2.299,0.0,5.814102564102564E-4,1560000,4,10,34,0,0,0
157,2500000,681719,2.303,4.0E-4,5.802547770700637E-4,1570000,4,10,34,3,3,4
158,3333333,685169,2.306,0.0,5.765822784810126E-4,1580000,4,10,34,0,0,0
159,2500000,688311,2.31,3.0E-4,5.748427672955975E-4,1590000,4,10,34,3,3,3
160,2500000,691443,2.314,0.0,5.7125E-4,1600000,4,10,34,0,0,0
161,2500000,694564,2.318,3.0E-4,5.695652173913044E-4,1610000,4,10,33,2,3,3
162,3333333,697975,2.321,2.0E-4,5.672839506172839E-4,1620000,4,10,33,2,2,2
163,3333333,701075,2.325,1.0E-4,5.644171779141104E-4,1630000,4,10,33,1,1,1
164,2500000,704164,2.329,3.0E-4,5.628048780487805E-4,1640000,4,10,33,3,3,3
165,2500000,707243,2.333,3.0E-4,5.612121212121212E-4,1650000,4,9,32,3,3,3
166,2500000,710312,2.337,3.0E-4,5.596385542168675E-4,1660000,4,9,32,3,3,3
167,2500000,713370,2.341,4.0E-4,5.586826347305389E-4,1670000,4,9,32,3,3,4
168,2500000,716417,2.345,3.0E-4,5.571428571428572E-4,1680000,4,9,32,2,2,3
169,3333333,719761,2.348,2.0E-4,5.550295857988165E-4,1690000,4,9,32,2,2,2
170,2500000,722481,2.353,3.0E-4,5.535294117647059E-4,1700000,4,9,31,2,2,3
171,2000000,725190,2.358,4.0E-4,5.526315789473684E-4,1710000,4,9,31,4,4,4
172,2000000,727888,2.363,5.0E-4,5.523255813953489E-4,1720000,4,9,31,5,5,5
173,2000000,730574,2.368,3.0E-4,5.508670520231214E-4,1730000,4,9,31,2,3,3
174,2000000,733249,2.373,1.0E-4,5.482758620689656E-4,1740000,4,9,31,1,1,1
175,2000000,735912,2.378,1.0E-4,5.457142857142858E-4,1750000,4,9,31,1,1,1
176,1666666,738255,2.384,5.0E-4,5.454545454545455E-4,1760000,4,9,31,5,5,5
177,2500000,741206,2.388,2.0E-4,5.435028248587571E-4,1770000,4,9,31,2,2,2
178,2500000,744147,2.392,3.0E-4,5.421348314606742E-4,1780000,4,9,31,3,3,3
179,2500000,747078,2.396,2.0E-4,5.402234636871508E-4,1790000,4,9,31,2,2,2
180,2500000,750000,2.4,2.0E-4,5.383333333333334E-4,1800000,4,8,31,2,2,2
181,2500000,752598,2.405,2.0E-4,5.3646408839779E-4,1810000,4,8,31,2,2,2
182,3333333,755813,2.408,2.0E-4,5.346153846153846E-4,1820000,4,8,31,2,2,2
183,2500000,758706,2.412,1.0E-4,5.322404371584699E-4,1830000,4,8,30,1,1,1
184,2000000,761274,2.417,3.0E-4,5.309782608695652E-4,1840000,4,8,30,3,3,3
185,2500000,764147,2.421,1.0E-4,5.286486486486486E-4,1850000,4,8,30,1,1,1
186,2000000,766378,2.427,3.0E-4,5.274193548387096E-4,1860000,4,8,30,3,3,3
187,1666666,768598,2.433,4.0E-4,5.267379679144385E-4,1870000,4,8,30,4,4,4
188,2000000,771123,2.438,4.0E-4,5.26063829787234E-4,1880000,4,8,30,4,4,4
189,1666666,773322,2.444,4.0E-4,5.253968253968253E-4,1890000,4,8,30,4,4,4
190,1666666,775510,2.45,5.0E-4,5.252631578947369E-4,1900000,4,8,30,5,5,5
191,1666666,777687,2.456,4.0E-4,5.246073298429319E-4,1910000,4,8,30,4,4,4
192,2500000,780487,2.46,3.0E-4,5.234375E-4,1920000,4,8,30,3,3,3
193,2500000,782961,2.465,3.0E-4,5.22279792746114E-4,1930000,4,8,30,3,3,3
194,2000000,785425,2.47,4.0E-4,5.216494845360825E-4,1940000,4,8,29,3,4,4
195,2000000,787878,2.475,1.0E-4,5.194871794871795E-4,1950000,4,8,29,1,1,1
196,1666666,790004,2.481,5.0E-4,5.193877551020409E-4,1960000,4,7,29,5,5,5
197,1666666,792119,2.487,3.0E-4,5.182741116751269E-4,1970000,4,7,29,3,3,3
