Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic)
1,22988,22988,0.435,0.0051,0.0051,10000
2,250000,42016,0.476,0.0027,0.0039,20000
3,243902,58027,0.517,0.003,0.0036,30000
4,263157,71942,0.556,0.0027,0.003375,40000
5,232558,83472,0.599,0.0028,0.00326,50000
6,232558,93457,0.642,0.0028,0.003183333333333333,60000
7,232558,102040,0.686,0.0027,0.0031142857142857144,70000
8,344827,111888,0.715,0.0021,0.0029875,80000
9,294117,120160,0.749,0.0021,0.0028888888888888888,90000
10,232558,126262,0.792,0.0028,0.00288,100000
11,277777,132850,0.828,0.0023,0.0028272727272727273,110000
12,357142,140186,0.856,0.002,0.002758333333333333,120000
13,416666,147727,0.88,0.0021,0.0027076923076923077,130000
14,322580,153677,0.911,0.0025,0.0026928571428571427,140000
15,434782,160599,0.934,0.0019,0.00264,150000
16,909090,169133,0.946,8.0E-4,0.002525,160000
17,1250000,178010,0.955,8.0E-4,0.002423529411764706,170000
18,1111111,186721,0.964,7.0E-4,0.0023277777777777776,180000
19,1250000,195473,0.972,7.0E-4,0.0022421052631578947,190000
20,1250000,204081,0.98,7.0E-4,0.002165,200000
21,1250000,212550,0.988,3.0E-4,0.0020761904761904763,210000
22,1428571,220883,0.996,4.0E-4,0.002,220000
23,1250000,229083,1.004,7.0E-4,0.0019434782608695653,230000
24,1666666,237623,1.01,6.0E-4,0.0018875,240000
25,2000000,246062,1.016,2.0E-4,0.00182,250000
26,1666666,254154,1.023,2.0E-4,0.0017576923076923078,260000
27,1666666,262390,1.029,4.0E-4,0.0017074074074074075,270000
28,2000000,270531,1.035,3.0E-4,0.0016571428571428572,280000
29,1250000,278044,1.043,4.0E-4,0.0016137931034482759,290000
30,1666666,285986,1.049,3.0E-4,0.00157,300000
31,1428571,293560,1.056,5.0E-4,0.001535483870967742,310000
32,1666666,301034,1.063,5.0E-4,0.001503125,320000
33,1666666,308699,1.069,3.0E-4,0.0014666666666666667,330000
34,1666666,316279,1.075,2.0E-4,0.0014294117647058824,340000
35,1666666,323475,1.082,5.0E-4,0.0014028571428571428,350000
36,1666666,330578,1.089,4.0E-4,0.001375,360000
37,3333333,338517,1.093,3.0E-4,0.001345945945945946,370000
38,2000000,346083,1.098,2.0E-4,0.0013157894736842105,380000
39,3333333,354223,1.101,2.0E-4,0.0012871794871794871,390000
40,2500000,361663,1.106,2.0E-4,0.00126,400000
41,3333333,369369,1.11,2.0E-4,0.0012341463414634146,410000
42,3333333,377358,1.113,2.0E-4,0.0012095238095238094,420000
43,3333333,384959,1.117,1.0E-4,0.0011837209302325582,430000
44,3333333,392857,1.12,2.0E-4,0.0011613636363636364,440000
45,3333333,400355,1.124,2.0E-4,0.00114,450000
46,3333333,408163,1.127,2.0E-4,0.0011195652173913043,460000
47,2500000,415561,1.131,1.0E-4,0.001097872340425532,470000
48,3333333,423280,1.134,2.0E-4,0.0010791666666666666,480000
49,2500000,430579,1.138,3.0E-4,0.0010632653061224489,490000
50,3333333,438212,1.141,2.0E-4,0.001046,500000
51,2500000,445414,1.145,2.0E-4,0.0010294117647058824,510000
