Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,17857,17857,0.56,0.0053,0.0053,10000,52,53,53,52,53,53
2,303030,33670,0.594,0.0021,0.0037,20000,50,52,53,19,19,20
3,322580,48000,0.625,0.0021,0.0031666666666666666,30000,48,51,53,18,19,21
4,526315,62111,0.644,0.0014,0.002725,40000,46,50,53,12,13,14
5,555555,75528,0.662,0.0013,0.00244,50000,44,48,53,12,12,13
6,555555,88105,0.681,0.0016,0.0023,60000,41,48,53,15,15,16
7,555555,100143,0.699,0.0014,0.0021714285714285715,70000,38,47,53,13,13,14
8,769230,112359,0.712,0.001,0.002025,80000,34,46,52,9,9,10
9,1000000,124653,0.722,6.0E-4,0.0018666666666666666,90000,21,45,52,6,6,6
10,1428571,136986,0.73,3.0E-4,0.00171,100000,19,44,52,3,3,3
11,555555,147058,0.748,8.0E-4,0.0016272727272727272,110000,19,43,52,8,8,8
12,909090,158102,0.759,8.0E-4,0.0015583333333333332,120000,17,41,52,7,7,7
13,1250000,168175,0.773,5.0E-4,0.0014769230769230768,130000,16,40,51,4,5,5
14,714285,177890,0.787,9.0E-4,0.0014357142857142856,140000,15,38,51,9,9,9
15,1000000,188205,0.797,3.0E-4,0.00136,150000,15,37,51,3,3,3
16,2000000,199501,0.802,2.0E-4,0.0012875,160000,14,34,51,2,2,2
17,2500000,210656,0.807,3.0E-4,0.0012294117647058823,170000,14,30,50,3,3,3
18,2000000,221402,0.813,3.0E-4,0.0011777777777777778,180000,14,21,50,3,3,3
19,2000000,231990,0.819,2.0E-4,0.0011263157894736843,190000,13,20,50,1,1,1
20,2000000,242718,0.824,1.0E-4,0.001075,200000,13,19,50,1,1,1
21,2000000,253317,0.829,1.0E-4,0.0010285714285714286,210000,13,19,49,1,1,1
